ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
4124,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BHASK-2024-2580.jpg,lost,831,( -985218),BHASKAR ANKALAMADUGU SHIVAREDDY,Independent
4125,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHIVA-2024-20240409121959.jpg,lost,817,( -985232),SHIVAKUMAR. B,Karnataka Rashtra Samithi
4126,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VSUD-2024-20240403124352.jpg,lost,657,( -985392),SUDHA.  V,Independent
4127,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRISH-2024-20240403041146.jpg,lost,559,( -985490),KRISHNAIAH,Rashtriya Samaj Dal (R)
4128,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JVEN-2024-3599.jpg,lost,425,( -985624),HEBBAL VENKATESH.J,Republican Party of India (A)
4129,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JJAI-2024-20240405011544.jpg,lost,359,( -985690),"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party
4130,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHOBA-2024-20240402115125.jpg,lost,320,( -985729),SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule)
4131,Karnataka,Bangalore North(24),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PARAS-2024-3572.jpg,lost,313,( -985736),PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party
4132,Karnataka,Bangalore North(24),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,13554,( -972495),NOTA,None of the Above
4133,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRCNM-2024-3418.jpg,won,1079002,(+ 269647),DR C N MANJUNATH,Bharatiya Janata Party
4134,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DKSUR-2024-20240406033551.jpg,lost,809355,( -269647),D K SURESH,Indian National Congress
4135,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ABHIS-2024-2676.jpg,lost,6202,( -1072800),ABHISHEK K,Uttama Prajaakeeya Party
4136,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-3689.jpg,lost,3236,( -1075766),SURESH M N,Independent
4137,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HEMAV-2024-2579.jpg,lost,1774,( -1077228),HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST)
4138,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JTPRA-2024-20240402125538.jpg,lost,1472,( -1077530),J T PRAKASH,Independent
4139,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NKRIS-2024-3505.jpg,lost,1402,( -1077600),N KRISHNAPPA,Pyramid Party of India
4140,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANJU-2024-3174.jpg,lost,1400,( -1077602),C N MANJUNATHA,Bahujan Bharat Party
4141,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KUMAR-2024-2679.jpg,lost,1066,( -1077936),KUMAR L,Bharatiya Prajagala Kalyana Paksha
4142,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHAM-2024-2624.jpg,lost,821,( -1078181),MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi
4143,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NARAS-2024-3598.jpg,lost,813,( -1078189),NARASIMHAMURTHY J P,Independent
4144,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-2997.jpg,lost,798,( -1078204),SURESH S,Karunaadu Party
4145,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VASIS-2024-3191.jpg,lost,584,( -1078418),VASIST J,Country Citizen Party
4146,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MOHAM-2024-2669.jpg,lost,486,( -1078516),MOHAMMAD DASTAGEER,Young Star Empowerment Party
4147,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HVCHA-2024-3438.jpg,lost,480,( -1078522),H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi
4148,Karnataka,Bangalore Rural(23),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,10649,( -1068353),NOTA,None of the Above
4149,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/YADUV-2024-2695.jpg,won,795503,(+ 139262),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party
4150,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MLAK-2024-3186.jpg,lost,656241,( -139262),M. LAKSHMANA,Indian National Congress
4151,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANGA-2024-2794.jpg,lost,4306,( -791197),RANGASWAMY. M,Independent
4152,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAMBA-2024-3536.jpg,lost,4080,( -791423),KADAMBA NAA AMBARISH,Karnataka Jantha Paksha
4153,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ASSAT-2024-2592.jpg,lost,3746,( -791757),A. S. SATHISH,Independent
4154,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMAM-2024-2805.jpg,lost,3605,( -791898),RAMAMURTHY. M,Independent
4155,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAJU-2024-3506.jpg,lost,1949,( -793554),RAJU,Independent
4156,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/LEELA-2024-2779.jpg,lost,1754,( -793749),PRAJAKEEYA LEELA SHIVAKUMAR,Uttama Prajaakeeya Party
4157,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUNIL-2024-2434.jpg,lost,1560,( -793943),COMRADE SUNIL T. R,Socialist Unity Centre Of India (COMMUNIST)
4158,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HKK-2024-20240408053654.jpg,lost,1489,( -794014),H. K. KRISHNA,Karunaadu Party
4159,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HARIS-2024-3030.jpg,lost,976,( -794527),HARISH GOWDA,Socialist Party (India)
4160,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PSY-2024-2677.jpg,lost,878,( -794625),P. S. YADURAPPA,Independent
4161,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AMBED-2024-3631.jpg,lost,835,( -794668),AMBEDKAR. C. J,Independent
4162,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DARSH-2024-20240408062353.jpg,lost,764,( -794739),DARSHAN K PONNETI,Independent
4163,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MSPRA-2024-2459.jpg,lost,740,( -794763),M. S. PRAVEEN,Karnataka Rashtra Samithi
4164,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CHRIS-2024-3194.jpg,lost,544,( -794959),CHRISTOPHER RAJ KUMAR,Independent
4165,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HMNAN-2024-3511.jpg,lost,523,( -794980),DR. H. M. NANJUNDASWAMY,Samajwadi Janata Party(Karnataka)
4166,Karnataka,Mysore(21),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AGRAM-2024-3593.jpg,lost,490,( -795013),A. G. RAMACHANDRA RAO,Secular Democratic Congress
4167,Karnataka,Mysore(21),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,4490,( -791013),NOTA,None of the Above
4168,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/VSOMA-2024-2673.jpg,won,720946,(+ 175594),V. SOMANNA,Bharatiya Janata Party
4169,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SPMUD-2024-3458.jpg,lost,545352,( -175594),S.P. MUDDAHANUMEGOWDA,Indian National Congress
4170,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JKSAM-2024-20240404071822.jpg,lost,6775,( -714171),J.K. SAMI,Independent
4171,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/JNRAJ-2024-3126.jpg,lost,5554,( -715392),RAJASIMHA J. N.,Bahujan Samaj Party
4172,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SNAGA-2024-2795.jpg,lost,4591,( -716355),S.N. SWAMY,Socialist Unity Centre Of India (COMMUNIST)
4173,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANGA-2024-3620.jpg,lost,3132,( -717814),RANGANATHA. R.S,Independent
4174,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MALLI-2024-20240405113706.jpg,lost,1880,( -719066),MALLIKARJUNAIAH,Independent
4175,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SIDDA-2024-2577.jpg,lost,1646,( -719300),SIDDARAMEGOWDA T. B,Independent
4176,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRADE-2024-2597.jpg,lost,1618,( -719328),PRADEEP KUMAR DODDAMUDDEGOWDA,Karnataka Rashtra Samithi
4177,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/HLMOH-2024-3495.jpg,lost,893,( -720053),H.L. MOHAN KUMAR,Independent
4178,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/PRAKA-2024-20240328015104.jpg,lost,863,( -720083),PRAKASH. R.A. JAIN,Independent
4179,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NEELA-2024-3470.jpg,lost,719,( -720227),NEELAKANTESHA. H S,Independent
4180,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RPUSH-2024-3573.jpg,lost,629,( -720317),R. PUSHPA,Independent
4181,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RNARA-2024-20240401103820.jpg,lost,507,( -720439),R. NARAYANAPPA,Independent
4182,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEVAR-2024-2833.jpg,lost,499,( -720447),B. DEVARAJ,Independent
4183,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DRHBM-2024-3482.jpg,lost,477,( -720469),DR. H.B.M. HIREMATH,Kannada  Paksha
4184,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KAPAN-2024-20240402022934.jpg,lost,471,( -720475),KAPANIGOWDA.,Independent
4185,Karnataka,Tumkur(19),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BASAV-2024-3007.jpg,lost,439,( -720507),BASAVARAJU. H.R,National Maha Sabha Party
4186,Karnataka,Tumkur(19),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,6460,( -714486),NOTA,None of the Above
4187,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GOVIN-2024-20240408061501.jpg,won,684890,(+ 48121),GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party
4188,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BNCHA-2024-4068.jpg,lost,636769,( -48121),B.N.CHANDRAPPA,Indian National Congress
4189,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/ASHOK-2024-2856.jpg,lost,7705,( -677185),ASHOKA CHAKRAVARTHI,Bahujan Samaj Party
4190,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NARAS-2024-20240408061535.jpg,lost,4950,( -679940),NARASIMHARAJU. C.N.,Karnataka Rashtra Samithi
4191,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SRINI-2024-20240408061949.jpg,lost,4548,( -680342),SRINIVASAPURADA SRINIVASABABU PAVAGADA,Independent
4192,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BVEN-2024-20240404064609.jpg,lost,4201,( -680689),"B. VENKATESHA, SHILPI",Independent
4193,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MANJU-2024-4203.jpg,lost,2676,( -682214),MANJUNATHA SWAMY T,Independent
4194,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BHUTH-2024-4127.jpg,lost,2397,( -682493),BHUTHARAJA. V.S.,Independent
4195,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAGHU-2024-3327.jpg,lost,2337,( -682553),RAGHU KUMAR .S,Independent
4196,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RAMES-2024-4174.jpg,lost,2206,( -682684),RAMESH NAIK .T.,Uttama Prajaakeeya Party
4197,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/NAGAR-2024-20240408061803.jpg,lost,1679,( -683211),NAGARAJAPPA,Independent
4198,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KNAR-2024-3276.jpg,lost,1397,( -683493),K  NARASHIMAMURTHY,Independent
4199,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUDHA-2024-20240408061852.jpg,lost,1211,( -683679),SUDHAKARA .R,Independent
4200,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GANES-2024-3941.jpg,lost,1093,( -683797),GANESH.,Independent
4201,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/TULAS-2024-4038.jpg,lost,1082,( -683808),TULASI.H,Independent
4202,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SHABA-2024-3294.jpg,lost,1018,( -683872),SHABAREESH.,Karunada Sevakara Party
4203,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUJAT-2024-20240408061439.jpg,lost,1014,( -683876),SUJATHA .D.,Socialist Unity Centre Of India (COMMUNIST)
4204,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MPDAR-2024-4213.jpg,lost,992,( -683898),DR M.P. DARAKESWARAIAH,Independent
4205,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/AMRUT-2024-4225.jpg,lost,834,( -684056),AMRUTH RAJA.,Independent
4206,Karnataka,Chitradurga(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/BTR-2024-20240408080915.jpg,lost,720,( -684170),B.T. RAMASUBBAIAH,Indian Movement Party
4207,Karnataka,Chitradurga(18),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,3190,( -681700),NOTA,None of the Above
4208,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/CAPTA-2024-20240408115528.jpg,won,764132,(+ 149208),CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party
4209,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RPADM-2024-20240404112036.jpg,lost,614924,( -149208),PADMARAJ.R.POOJARY,Indian National Congress
4210,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KANTH-2024-20240404120733.jpg,lost,4232,( -759900),KANTHAPPA ALANGAR,Bahujan Samaj Party
4211,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DURGA-2024-2672.jpg,lost,2592,( -761540),DURGA PRASAD,Karunada Sevakara Party
4212,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUPRE-2024-2442.jpg,lost,1901,( -762231),SUPREETH KUMAR POOJARY  KATEEL,Independent
4213,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAXIM-2024-3439.jpg,lost,1690,( -762442),MAXIM PINTO,Independent
4214,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEEPA-2024-2606.jpg,lost,976,( -763156),DEEPAK RAJESH COELHO,Independent
4215,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KEMAN-2024-2804.jpg,lost,971,( -763161),PRAJAAKEEYA MANOHARA,Uttama Prajaakeeya Party
4216,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-2618.jpg,lost,776,( -763356),RANJINI. M,Karnataka Rashtra Samithi
4217,Karnataka,Dakshina Kannada(17),https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,,23576,( -740556),NOTA,None of the Above
4218,Karnataka,Udupi Chikmagalur(15),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KOTAS-2024-3064.jpg,won,732234,(+ 259175),KOTA SRINIVAS POOJARY,Bharatiya Janata Party
4219,Karnataka,Udupi Chikmagalur(15),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KJAY-2024-20240408051657.jpg,lost,473059,( -259175),K. JAYAPRAKASH HEGDE,Indian National Congress
